,Education,Key
47,Miranda House,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA3OTMwOTc1OTAxMzM0XCJ9In0%3D
48,Delhi Music Academy,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTYyNTc5NjIzOTI4MzQ3XCJ9In0%3D
49,Sri Venkateswara College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA4MTcyNTQ5MjAzODc1XCJ9In0%3D
50,National School of Drama,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTk1MTU3MzM3MTg1NzQ1XCJ9In0%3D
51,IIT Ropar,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTk1MTU3MzM3MTg1NzQ1XCJ9In0%3D
52,Indian Institute of Foreign Trade,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTExOTcwODI4ODE5MDU5XCJ9In0%3D
53,A.R.S.D College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTg0MzU4MTIxNjk1NTI1XCJ9In0%3D
54,Maulana Azad Medical College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTEyMjMyNjk4NzkwNzc4XCJ9In0%3D
55,Indian Institute of Mass Communication,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjY3Nzc0MzgwNTYwMTE2NlwifSJ9
56,University of Delhi,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTk4MjQ3ODA2ODY2MTQxXCJ9In0%3D
57,College of Vocational Studies,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA3NDE3Njg3MzEyMTk1XCJ9In0%3D
58,IIIT Delhi,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjMxMzg3OTkwMjExNTcyXCJ9In0%3D
59,"GGSIP University, Dwarka, Delhi",eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiOTg0MTU1NTk4MjcxODA5XCJ9In0%3D
60,Delhi Pharmaceutical Science and Research University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTEwNDU0NDQ3NjM0NzE2OVwifSJ9
61,Government Engineering College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTcyNjI3MjYyODczOTk2XCJ9In0%3D
62,JMI,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA4NjY2Nzk5MTY0NDEzXCJ9In0%3D
63,"Armed Forces Medical College, Pune",eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMzY3NDIwNTA2NjQwNDQyXCJ9In0%3D
64,IIMC,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjU2OTA1NDk0MzU2MzkzXCJ9In0%3D
65,"Jamia Milia Islamia, Jamia Nagar, Delhi",eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTUwNTgxODE3NjMyNjQ5OFwifSJ9
0,GREEN LAND PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTM2ODI0MDcxOTkwMTg0NFwifSJ9
1,GEETA BAL BHARTI SR. SEC. SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNDg3ODQ5MDg0NjkwODA1XCJ9In0%3D
2,GYANDEEP SHIKSHA NIKETAN,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTAxNTIyMDEyMDU1NzA4XCJ9In0%3D
3,PUNEET PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTU1NzI0MzQ1NzYzNjY5OFwifSJ9
4,HAPPY PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjc5NzQyMjY1Mzc0MTUzXCJ9In0%3D
5,AMAR JYOTI SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTc1NTgzNDU5Nzc0MTQxXCJ9In0%3D
6,MODERN MONTESSORI SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMzQyNjA4NDQ1ODQzMDMzXCJ9In0%3D
